Date,Torah_hw,Torah_en
18/10/2024,סוּכּוֹת ב׳,Sukkot II
19/10/2024,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
20/10/2024,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
21/10/2024,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
22/10/2024,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
23/10/2024,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
24/10/2024,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
25/10/2024,שִׂמְחַת תּוֹרָה,Simchat Torah
26/10/2024,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
02/11/2024,פָּרָשַׁת נֹחַ,Parashat Noach
09/11/2024,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
16/11/2024,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
23/11/2024,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
30/11/2024,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
07/12/2024,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
14/12/2024,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
21/12/2024,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
25/12/2024,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
26/12/2024,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
27/12/2024,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
28/12/2024,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
28/12/2024,פָּרָשַׁת מִקֵּץ,Parashat Miketz
29/12/2024,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
30/12/2024,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
31/12/2024,חַג הַבָּנוֹת,Chag HaBanot
31/12/2024,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
01/01/2025,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
02/01/2025,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
04/01/2025,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
11/01/2025,פָּרָשַׁת וַיְחִי,Parashat Vayechi
18/01/2025,פָּרָשַׁת שְׁמוֹת,Parashat Shemot
25/01/2025,פָּרָשַׁת וָאֵרָא,Parashat Vaera
01/02/2025,פָּרָשַׁת בֹּא,Parashat Bo
08/02/2025,שַׁבָּת שִׁירָה,Shabbat Shirah
08/02/2025,פָּרָשַׁת בְּשַׁלַּח,Parashat Beshalach
13/02/2025,טוּ בִּשְׁבָט,Tu BiShvat
15/02/2025,פָּרָשַׁת יִתְרוֹ,Parashat Yitro
22/02/2025,פָּרָשַׁת מִּשְׁפָּטִים,Parashat Mishpatim
01/03/2025,שַׁבָּת שְׁקָלִים,Shabbat Shekalim
01/03/2025,פָּרָשַׁת תְּרוּמָה,Parashat Terumah
08/03/2025,שַׁבָּת זָכוֹר,Shabbat Zachor
08/03/2025,פָּרָשַׁת תְּצַוֶּה,Parashat Tetzaveh
13/03/2025,עֶרֶב פּוּרִים,Erev Purim
14/03/2025,פּוּרִים,Purim
15/03/2025,שׁוּשָׁן פּוּרִים,Shushan Purim
15/03/2025,פָּרָשַׁת כִּי תִשָּׂא,Parashat Ki Tisa
16/03/2025,פּוּרִים מְשׁוּלָּשׁ,Purim Meshulash
22/03/2025,שַׁבָּת פּרה,Shabbat Parah
22/03/2025,פָּרָשַׁת וַיַּקְהֵל,Parashat Vayakhel
29/03/2025,שַׁבָּת הַחֹדֶשׁ,Shabbat HaChodesh
29/03/2025,פָּרָשַׁת פְקוּדֵי,Parashat Pekudei
05/04/2025,פָּרָשַׁת וַיִּקְרָא,Parashat Vayikra
12/04/2025,שַׁבָּת הַגָּדוֹל,Shabbat HaGadol
12/04/2025,עֶרֶב פֶּסַח,Erev Pesach
12/04/2025,פָּרָשַׁת צַו,Parashat Tzav
13/04/2025,פֶּסַח א׳,Pesach I
14/04/2025,פֶּסַח ב׳,Pesach II
15/04/2025,פֶּסַח ג׳ (חוה״מ),Pesach III (CH‚Äô‚ÄôM)
16/04/2025,פֶּסַח ד׳ (חוה״מ),Pesach IV (CH‚Äô‚ÄôM)
17/04/2025,פֶּסַח ה׳ (חוה״מ),Pesach V (CH‚Äô‚ÄôM)
18/04/2025,פֶּסַח ו׳ (חוה״מ),Pesach VI (CH‚Äô‚ÄôM)
19/04/2025,פֶּסַח ז׳,Pesach VII
20/04/2025,פֶּסַח ח׳,Pesach VIII
26/04/2025,פָּרָשַׁת שְּׁמִינִי,Parashat Shmini
03/05/2025,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע,Parashat Tazria-Metzora
10/05/2025,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים,Parashat Achrei Mot-Kedoshim
12/05/2025,פֶּסַח שני,Pesach Sheni
16/05/2025,ל״ג בָּעוֹמֶר,Lag BaOmer
17/05/2025,פָּרָשַׁת אֱמוֹר,Parashat Emor
24/05/2025,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי,Parashat Behar-Bechukotai
31/05/2025,פָּרָשַׁת בְּמִדְבַּר,Parashat Bamidbar
01/06/2025,עֶרֶב שָׁבוּעוֹת,Erev Shavuot
02/06/2025,שָׁבוּעוֹת א׳,Shavuot I
03/06/2025,שָׁבוּעוֹת ב׳,Shavuot II
07/06/2025,פָּרָשַׁת נָשׂא,Parashat Nasso
14/06/2025,פָּרָשַׁת בְּהַעֲלֹתְךָ,Parashat Beha‚Äôalotcha
21/06/2025,פָּרָשַׁת שְׁלַח־לְךָ,Parashat Sh‚Äôlach
28/06/2025,פָּרָשַׁת קוֹרַח,Parashat Korach
05/07/2025,פָּרָשַׁת חֻקַּת,Parashat Chukat
12/07/2025,פָּרָשַׁת בָּלָק,Parashat Balak
19/07/2025,פָּרָשַׁת פִּינְחָס,Parashat Pinchas
26/07/2025,פָּרָשַׁת מַּטּוֹת־מַסְעֵי,Parashat Matot-Masei
02/08/2025,שַׁבָּת חֲזוֹן,Shabbat Chazon
02/08/2025,עֶרֶב תִּשְׁעָה בְּאָב,Erev Tish‚Äôa B‚ÄôAv
02/08/2025,פָּרָשַׁת דְּבָרִים,Parashat Devarim
03/08/2025,תִּשְׁעָה בְּאָב,Tish‚Äôa B‚ÄôAv
09/08/2025,טוּ בְּאָב,Tu B‚ÄôAv
09/08/2025,שַׁבָּת נַחֲמוּ,Shabbat Nachamu
09/08/2025,פָּרָשַׁת וָאֶתְחַנַּן,Parashat Vaetchanan
16/08/2025,פָּרָשַׁת עֵקֶב,Parashat Eikev
23/08/2025,פָּרָשַׁת רְאֵה,Parashat Re‚Äôeh
25/08/2025,רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה,Rosh Hashana LaBehemot
30/08/2025,פָּרָשַׁת שׁוֹפְטִים,Parashat Shoftim
06/09/2025,פָּרָשַׁת כִּי־תֵצֵא,Parashat Ki Teitzei
13/09/2025,סליחות,Leil Selichot
13/09/2025,פָּרָשַׁת כִּי־תָבוֹא,Parashat Ki Tavo
20/09/2025,פָּרָשַׁת נִצָּבִים,Parashat Nitzavim
22/09/2025,עֶרֶב רֹאשׁ הַשָּׁנָה,Erev Rosh Hashana
23/09/2025,רֹאשׁ הַשָּׁנָה 5786,Rosh Hashana 5786
24/09/2025,רֹאשׁ הַשָּׁנָה ב׳,Rosh Hashana II
27/09/2025,שַׁבָּת שׁוּבָה,Shabbat Shuva
27/09/2025,פָּרָשַׁת וַיֵּלֶךְ,Parashat Vayeilech
01/10/2025,עֶרֶב יוֹם כִּפּוּר,Erev Yom Kippur
02/10/2025,יוֹם כִּפּוּר,Yom Kippur
04/10/2025,פָּרָשַׁת הַאֲזִינוּ,Parashat Ha‚Äôazinu
06/10/2025,עֶרֶב סוּכּוֹת,Erev Sukkot
07/10/2025,סוּכּוֹת א׳,Sukkot I
08/10/2025,סוּכּוֹת ב׳,Sukkot II
09/10/2025,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
10/10/2025,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
11/10/2025,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
12/10/2025,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
13/10/2025,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
14/10/2025,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
15/10/2025,שִׂמְחַת תּוֹרָה,Simchat Torah
18/10/2025,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
25/10/2025,פָּרָשַׁת נֹחַ,Parashat Noach
01/11/2025,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
08/11/2025,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
15/11/2025,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
22/11/2025,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
29/11/2025,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
06/12/2025,פָּרָשַׁת וַיִּשְׁלַח,Parashat Vayishlach
13/12/2025,פָּרָשַׁת וַיֵּשֶׁב,Parashat Vayeshev
14/12/2025,חֲנוּכָּה: א׳ נֵר,Chanukah: 1 Candle
15/12/2025,חֲנוּכָּה: ב׳ נֵרוֹת,Chanukah: 2 Candles
16/12/2025,חֲנוּכָּה: ג׳ נֵרוֹת,Chanukah: 3 Candles
17/12/2025,חֲנוּכָּה: ד׳ נֵרוֹת,Chanukah: 4 Candles
18/12/2025,חֲנוּכָּה: ה׳ נֵרוֹת,Chanukah: 5 Candles
19/12/2025,חֲנוּכָּה: ו׳ נֵרוֹת,Chanukah: 6 Candles
20/12/2025,חַג הַבָּנוֹת,Chag HaBanot
20/12/2025,חֲנוּכָּה: ז׳ נֵרוֹת,Chanukah: 7 Candles
20/12/2025,פָּרָשַׁת מִקֵּץ,Parashat Miketz
21/12/2025,חֲנוּכָּה: ח׳ נֵרוֹת,Chanukah: 8 Candles
22/12/2025,חֲנוּכָּה: יוֹם ח׳,Chanukah: 8th Day
27/12/2025,פָּרָשַׁת וַיִּגַּשׁ,Parashat Vayigash
03/01/2026,פָּרָשַׁת וַיְחִי,Parashat Vayechi
10/01/2026,פָּרָשַׁת שְׁמוֹת,Parashat Shemot
17/01/2026,פָּרָשַׁת וָאֵרָא,Parashat Vaera
24/01/2026,פָּרָשַׁת בֹּא,Parashat Bo
31/01/2026,שַׁבָּת שִׁירָה,Shabbat Shirah
31/01/2026,פָּרָשַׁת בְּשַׁלַּח,Parashat Beshalach
02/02/2026,טוּ בִּשְׁבָט,Tu BiShvat
07/02/2026,פָּרָשַׁת יִתְרוֹ,Parashat Yitro
14/02/2026,שַׁבָּת שְׁקָלִים,Shabbat Shekalim
14/02/2026,פָּרָשַׁת מִּשְׁפָּטִים,Parashat Mishpatim
21/02/2026,פָּרָשַׁת תְּרוּמָה,Parashat Terumah
28/02/2026,שַׁבָּת זָכוֹר,Shabbat Zachor
28/02/2026,פָּרָשַׁת תְּצַוֶּה,Parashat Tetzaveh
02/03/2026,עֶרֶב פּוּרִים,Erev Purim
03/03/2026,פּוּרִים,Purim
04/03/2026,שׁוּשָׁן פּוּרִים,Shushan Purim
07/03/2026,שַׁבָּת פּרה,Shabbat Parah
07/03/2026,פָּרָשַׁת כִּי תִשָּׂא,Parashat Ki Tisa
14/03/2026,שַׁבָּת הַחֹדֶשׁ,Shabbat HaChodesh
14/03/2026,פָּרָשַׁת וַיַּקְהֵל־פְקוּדֵי,Parashat Vayakhel-Pekudei
21/03/2026,פָּרָשַׁת וַיִּקְרָא,Parashat Vayikra
28/03/2026,שַׁבָּת הַגָּדוֹל,Shabbat HaGadol
28/03/2026,פָּרָשַׁת צַו,Parashat Tzav
01/04/2026,עֶרֶב פֶּסַח,Erev Pesach
02/04/2026,פֶּסַח א׳,Pesach I
03/04/2026,פֶּסַח ב׳,Pesach II
04/04/2026,פֶּסַח ג׳ (חוה״מ),Pesach III (CH‚Äô‚ÄôM)
05/04/2026,פֶּסַח ד׳ (חוה״מ),Pesach IV (CH‚Äô‚ÄôM)
06/04/2026,פֶּסַח ה׳ (חוה״מ),Pesach V (CH‚Äô‚ÄôM)
07/04/2026,פֶּסַח ו׳ (חוה״מ),Pesach VI (CH‚Äô‚ÄôM)
08/04/2026,פֶּסַח ז׳,Pesach VII
09/04/2026,פֶּסַח ח׳,Pesach VIII
11/04/2026,פָּרָשַׁת שְּׁמִינִי,Parashat Shmini
18/04/2026,פָּרָשַׁת תַזְרִיעַ־מְּצֹרָע,Parashat Tazria-Metzora
25/04/2026,פָּרָשַׁת אַחֲרֵי מוֹת־קְדשִׁים,Parashat Achrei Mot-Kedoshim
01/05/2026,פֶּסַח שני,Pesach Sheni
02/05/2026,פָּרָשַׁת אֱמוֹר,Parashat Emor
05/05/2026,ל״ג בָּעוֹמֶר,Lag BaOmer
09/05/2026,פָּרָשַׁת בְּהַר־בְּחֻקֹּתַי,Parashat Behar-Bechukotai
16/05/2026,פָּרָשַׁת בְּמִדְבַּר,Parashat Bamidbar
21/05/2026,עֶרֶב שָׁבוּעוֹת,Erev Shavuot
22/05/2026,שָׁבוּעוֹת א׳,Shavuot I
23/05/2026,שָׁבוּעוֹת ב׳,Shavuot II
30/05/2026,פָּרָשַׁת נָשׂא,Parashat Nasso
06/06/2026,פָּרָשַׁת בְּהַעֲלֹתְךָ,Parashat Beha‚Äôalotcha
13/06/2026,פָּרָשַׁת שְׁלַח־לְךָ,Parashat Sh‚Äôlach
20/06/2026,פָּרָשַׁת קוֹרַח,Parashat Korach
27/06/2026,פָּרָשַׁת חֻקַּת־בָּלָק,Parashat Chukat-Balak
04/07/2026,פָּרָשַׁת פִּינְחָס,Parashat Pinchas
11/07/2026,פָּרָשַׁת מַּטּוֹת־מַסְעֵי,Parashat Matot-Masei
18/07/2026,שַׁבָּת חֲזוֹן,Shabbat Chazon
18/07/2026,פָּרָשַׁת דְּבָרִים,Parashat Devarim
22/07/2026,עֶרֶב תִּשְׁעָה בְּאָב,Erev Tish‚Äôa B‚ÄôAv
23/07/2026,תִּשְׁעָה בְּאָב,Tish‚Äôa B‚ÄôAv
25/07/2026,שַׁבָּת נַחֲמוּ,Shabbat Nachamu
25/07/2026,פָּרָשַׁת וָאֶתְחַנַּן,Parashat Vaetchanan
29/07/2026,טוּ בְּאָב,Tu B‚ÄôAv
01/08/2026,פָּרָשַׁת עֵקֶב,Parashat Eikev
08/08/2026,פָּרָשַׁת רְאֵה,Parashat Re‚Äôeh
14/08/2026,רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה,Rosh Hashana LaBehemot
15/08/2026,פָּרָשַׁת שׁוֹפְטִים,Parashat Shoftim
22/08/2026,פָּרָשַׁת כִּי־תֵצֵא,Parashat Ki Teitzei
29/08/2026,פָּרָשַׁת כִּי־תָבוֹא,Parashat Ki Tavo
05/09/2026,סליחות,Leil Selichot
05/09/2026,פָּרָשַׁת נִצָּבִים־וַיֵּלֶךְ,Parashat Nitzavim-Vayeilech
11/09/2026,עֶרֶב רֹאשׁ הַשָּׁנָה,Erev Rosh Hashana
12/09/2026,רֹאשׁ הַשָּׁנָה 5787,Rosh Hashana 5787
13/09/2026,רֹאשׁ הַשָּׁנָה ב׳,Rosh Hashana II
19/09/2026,שַׁבָּת שׁוּבָה,Shabbat Shuva
19/09/2026,פָּרָשַׁת הַאֲזִינוּ,Parashat Ha‚Äôazinu
20/09/2026,עֶרֶב יוֹם כִּפּוּר,Erev Yom Kippur
21/09/2026,יוֹם כִּפּוּר,Yom Kippur
25/09/2026,עֶרֶב סוּכּוֹת,Erev Sukkot
26/09/2026,סוּכּוֹת א׳,Sukkot I
27/09/2026,סוּכּוֹת ב׳,Sukkot II
28/09/2026,סוּכּוֹת ג׳ (חוה״מ),Sukkot III (CH‚Äô‚ÄôM)
29/09/2026,סוּכּוֹת ד׳ (חוה״מ),Sukkot IV (CH‚Äô‚ÄôM)
30/09/2026,סוּכּוֹת ה׳ (חוה״מ),Sukkot V (CH‚Äô‚ÄôM)
01/10/2026,סוּכּוֹת ו׳ (חוה״מ),Sukkot VI (CH‚Äô‚ÄôM)
02/10/2026,סוּכּוֹת ז׳ (הוֹשַׁעְנָא רַבָּה),Sukkot VII (Hoshana Raba)
03/10/2026,שְׁמִינִי עֲצֶרֶת,Shmini Atzeret
04/10/2026,שִׂמְחַת תּוֹרָה,Simchat Torah
10/10/2026,פָּרָשַׁת בְּרֵאשִׁית,Parashat Bereshit
17/10/2026,פָּרָשַׁת נֹחַ,Parashat Noach
24/10/2026,פָּרָשַׁת לֶךְ־לְךָ,Parashat Lech-Lecha
31/10/2026,פָּרָשַׁת וַיֵּרָא,Parashat Vayera
07/11/2026,פָּרָשַׁת חַיֵּי שָֹרָה,Parashat Chayei Sara
14/11/2026,פָּרָשַׁת תּוֹלְדוֹת,Parashat Toldot
21/11/2026,פָּרָשַׁת וַיֵּצֵא,Parashat Vayetzei
